timestamp,TSLA_close,GM_close,AMZN_close,XOM_close,BAC_close,CAT_close,CVS_close
2018-09-07,263.24,33.91,1952.07,81.83,30.86,141.32,77.29
2018-09-06,280.95,34.38,1958.31,80.46,30.85,141.57,76.07
2018-09-05,280.74,35.29,1994.82,81.36,31.18,140.59,74.89
2018-09-04,288.95,35.6,2039.51,80.29,31.14,138.24,74.0
2018-08-31,301.66,36.05,2012.71,80.17,30.93,138.85,75.24
2018-08-30,303.15,36.36,2002.38,80.51,31.01,139.06,74.53
2018-08-29,305.01,37.12,1998.1,80.86,31.14,141.86,74.45
2018-08-28,311.86,37.32,1932.82,80.28,31.27,142.0,74.92
2018-08-27,319.27,37.69,1927.68,80.4,31.31,142.04,74.96
2018-08-24,322.82,35.95,1905.39,79.62,30.89,138.21,74.08
2018-08-23,320.1,35.67,1902.9,79.08,30.84,136.79,73.64
2018-08-22,321.64,36.13,1904.9,79.96,30.98,139.63,73.91
2018-08-21,321.9,36.91,1883.42,78.83,31.02,139.99,73.69
2018-08-20,308.44,36.77,1876.71,78.81,30.87,138.67,74.62
2018-08-17,305.5,36.38,1882.22,78.26,30.74,139.34,73.68
2018-08-16,335.45,36.29,1886.52,78.0,30.72,136.26,73.2
2018-08-15,338.69,35.94,1882.62,76.94,30.36,132.02,71.64
2018-08-14,347.64,36.2,1919.65,78.31,30.79,134.92,71.38
2018-08-13,356.41,36.16,1896.2,78.56,30.48,135.02,69.5
2018-08-10,355.49,36.59,1886.3,79.42,31.19,135.92,69.05
2018-08-09,352.45,37.51,1898.52,80.32,31.6,138.52,68.57
2018-08-08,370.34,37.66,1886.52,80.73,31.8,139.71,68.17
2018-08-07,379.57,37.58,1862.48,81.27,31.51,142.38,65.45
2018-08-06,341.99,37.6,1847.75,80.18,31.52,139.48,65.04
2018-08-03,348.17,37.73,1823.29,80.2,31.51,138.51,64.89
2018-08-02,349.54,36.62,1834.33,79.91,31.28,138.01,63.78
2018-08-01,300.84,37.14,1797.17,80.39,31.25,138.54,64.09
2018-07-31,298.14,37.91,1777.44,81.51,30.88,143.8,64.86
2018-07-30,290.17,37.67,1779.22,81.74,31.31,139.75,67.43
2018-07-27,297.18,37.53,1817.27,81.92,31.06,142.56,66.67
2018-07-26,306.65,36.75,1808.0,84.24,30.94,142.58,66.34
2018-07-25,308.74,37.65,1863.61,83.59,31.07,140.48,65.99
2018-07-24,297.43,39.48,1829.24,83.01,30.83,137.97,65.58
2018-07-23,303.2,39.27,1802.0,81.4,30.75,136.28,66.34
2018-07-20,313.58,39.4,1813.7,81.4,30.13,136.82,65.26
2018-07-19,320.23,39.31,1812.97,82.01,29.67,139.42,66.14
2018-07-18,323.85,39.87,1842.92,82.22,30.13,141.12,67.9
2018-07-17,322.69,40.03,1843.93,82.31,30.01,138.95,67.94
2018-07-16,310.1,39.56,1822.49,82.49,29.78,138.08,68.24
2018-07-13,318.87,39.36,1813.03,83.31,28.55,140.75,68.63
2018-07-12,316.71,39.27,1796.62,82.69,28.77,139.42,67.99
2018-07-11,318.96,39.3,1755.0,82.59,28.68,136.76,67.3
2018-07-10,322.47,40.09,1743.07,83.66,28.83,141.25,68.24
