timestamp,AAPL_close,AMZN_close,XOM_close,TSLA_close,GOOGL_close,JPM_close
2018-07-17,191.45,1843.93,82.31,322.69,1213.08,110.5
2018-07-16,190.91,1822.49,82.49,310.1,1196.51,110.58
2018-07-13,191.33,1813.03,83.31,318.87,1204.42,106.36
2018-07-12,191.03,1796.62,82.69,316.71,1201.26,106.85
2018-07-11,187.88,1755.0,82.59,318.96,1171.46,106.39
2018-07-10,190.35,1743.07,83.66,322.47,1167.14,106.62
2018-07-09,190.58,1739.02,82.9,318.51,1167.28,107.28
2018-07-06,187.97,1710.63,82.33,308.9,1155.08,104.06
2018-07-05,185.4,1699.73,82.31,309.16,1141.29,103.72
2018-07-03,183.92,1693.96,82.24,310.86,1116.28,103.61
2018-07-02,187.18,1713.78,81.76,335.07,1142.11,105.08
2018-06-29,185.11,1699.8,82.73,342.95,1129.19,104.2
2018-06-28,185.5,1701.45,81.97,349.93,1126.78,104.93
2018-06-27,184.16,1660.51,81.71,344.5,1116.94,103.24
2018-06-26,184.43,1691.09,80.64,342.0,1132.62,104.86
2018-06-25,182.17,1663.15,79.74,333.01,1139.28,104.79
2018-06-22,184.92,1715.67,81.38,333.63,1169.29,105.75
2018-06-21,185.46,1730.22,79.69,347.51,1169.44,107.51
2018-06-20,186.5,1750.08,80.45,362.22,1184.07,107.54
2018-06-19,185.69,1734.78,80.7,352.55,1178.69,107.55
2018-06-18,188.74,1723.79,80.82,370.83,1183.58,108.18
2018-06-15,188.84,1715.97,80.66,358.17,1159.27,107.9
2018-06-14,190.8,1723.86,81.89,357.72,1160.11,108.03
2018-06-13,190.7,1704.86,81.51,344.78,1144.23,109.97
2018-06-12,192.28,1698.75,82.42,342.77,1148.19,110.19
2018-06-11,191.23,1689.12,83.1,332.1,1140.9,110.83
2018-06-08,191.7,1683.99,83.6,317.66,1132.71,111.11
2018-06-07,193.46,1689.3,82.88,316.09,1134.42,110.8
2018-06-06,193.98,1695.75,82.06,319.5,1146.95,110.36
2018-06-05,193.31,1696.35,80.68,291.13,1151.02,107.84
2018-06-04,191.83,1665.27,80.97,296.74,1153.04,108.45
2018-06-01,190.24,1641.54,81.83,291.82,1135.0,108.4
2018-05-31,186.87,1629.62,81.24,284.73,1100.0,107.01
2018-05-30,187.5,1624.89,81.5,291.72,1077.47,108.35
2018-05-29,187.9,1612.87,78.42,283.76,1068.07,105.93
2018-05-25,188.58,1610.15,78.71,278.85,1084.08,110.66
2018-05-24,188.15,1603.07,80.27,277.85,1085.45,111.23
2018-05-23,188.36,1601.86,82.15,279.07,1085.96,112.49
2018-05-22,187.16,1581.4,81.64,275.01,1075.31,113.01
2018-05-21,187.63,1585.46,82.28,284.49,1084.01,112.15
2018-05-18,186.31,1574.37,81.3,276.82,1069.64,111.13
2018-05-17,186.99,1581.76,81.88,284.54,1081.26,112.96
2018-05-16,188.18,1587.28,82.02,286.48,1084.09,113.34
2018-05-15,186.44,1576.12,81.79,284.18,1084.87,113.03
2018-05-14,188.15,1601.54,81.83,291.97,1106.6,113.9
2018-05-11,188.59,1602.91,81.28,301.06,1103.38,113.86
2018-05-10,190.04,1609.08,81.72,305.02,1105.47,114.29
2018-05-09,187.36,1608.0,79.93,306.85,1088.95,113.41
2018-05-08,186.05,1592.39,78.09,301.97,1058.59,110.99
2018-05-07,185.16,1600.14,77.74,302.77,1059.46,109.37
2018-05-04,183.83,1580.95,76.9,294.09,1051.0,108.43
2018-05-03,176.89,1572.08,76.54,284.45,1026.3,107.24
2018-05-02,176.57,1569.68,76.8,301.15,1026.05,107.92
2018-05-01,169.1,1582.26,76.95,299.92,1040.75,108.78
2018-04-30,165.26,1566.13,77.75,293.9,1018.58,108.78
2018-04-27,162.32,1572.62,77.79,294.075,1031.45,109.4
2018-04-26,164.22,1517.96,80.86,285.48,1043.31,110.1
2018-04-25,163.65,1460.17,79.5,280.69,1022.99,109.99
2018-04-24,162.94,1460.09,78.35,283.46,1022.64,110.41
2018-04-23,165.24,1517.86,79.57,283.37,1073.81,110.93
2018-04-20,165.72,1527.49,79.0,290.24,1077.32,111.47
2018-04-19,172.8,1556.91,79.42,300.08,1089.45,111.72
